title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
Jurassic Park,1993,276,jurassic-park-1993,tt0107290,329,,,,1,2026-01-24T12:29:00.000Z
Alien,1979,295,alien-1979,tt0078748,348,,,,1,2026-01-24T12:28:00.000Z
Kill Bill: Vol. 2,2004,313,kill-bill-vol-2-2004,tt0378194,393,,,,1,2026-01-24T12:07:00.000Z
La Haine,1995,324,la-haine-1995,tt0113247,406,,,,1,2026-01-24T12:28:00.000Z
A Beautiful Mind,2001,358,a-beautiful-mind-2001,tt0268978,453,,,,1,2026-01-24T12:07:00.000Z
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,389,borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan-2006,tt0443453,496,,,,1,2026-01-24T12:07:00.000Z
Reservoir Dogs,1992,392,reservoir-dogs-1992,tt0105236,500,,,,1,2026-01-24T12:28:00.000Z
Casino,1995,409,casino-1995,tt0112641,524,,,,1,2026-01-24T12:07:00.000Z
Life of Brian,1979,462,life-of-brian-1979,tt0079470,583,,,,1,2026-01-24T12:08:00.000Z
"Monsters, Inc.",2001,464,monsters-inc-2001,tt0198781,585,,,,1,2026-01-24T14:49:00.000Z
City of God,2002,476,city-of-god-2002,tt0317248,598,,,,1,2026-02-14T12:52:00.000Z
Full Metal Jacket,1987,478,full-metal-jacket-1987,tt0093058,600,,,,1,2026-01-24T12:07:00.000Z
The Matrix,1999,481,the-matrix-1999,tt0133093,603,,,,1,2026-01-24T12:13:00.000Z
The Matrix Revolutions,2003,483,the-matrix-revolutions-2003,tt0242653,605,,,,1,2026-01-24T13:06:00.000Z
Downfall,2004,489,downfall-2004,tt0363163,613,,,,1,2026-01-24T17:27:00.000Z
Grease,1978,497,grease-1978,tt0077631,621,,,,1,2026-01-24T14:52:00.000Z
Trainspotting,1996,503,trainspotting-1996,tt0117951,627,,,,1,2026-01-24T12:29:00.000Z
Life Is Beautiful,1997,513,life-is-beautiful-1997,tt0118799,637,,,,1,2026-01-24T13:12:00.000Z
Requiem for a Dream,2000,517,requiem-for-a-dream-2000,tt0180093,641,,,,1,2026-01-24T12:29:00.000Z
Pulp Fiction,1994,554,pulp-fiction-1994,tt0110912,680,,,,1,2026-01-24T12:06:00.000Z
The Shining,1980,566,the-shining-1980,tt0081505,694,,,,1,2026-01-24T12:06:00.000Z
Annie Hall,1977,575,annie-hall-1977,tt0075686,703,,,,1,2026-01-24T13:34:00.000Z
The Sixth Sense,1999,590,the-sixth-sense-1999,tt0167404,745,,,,1,2026-01-24T12:08:00.000Z
Shaun of the Dead,2004,592,shaun-of-the-dead-2004,tt0365748,747,,,,1,2026-01-24T13:05:00.000Z
Monty Python and the Holy Grail,1975,605,monty-python-and-the-holy-grail-1975,tt0071853,762,,,,1,2026-01-24T12:36:00.000Z
Braindead,1992,606,braindead-1992,tt0103873,763,,,,1,2026-01-24T12:37:00.000Z
GoodFellas,1990,612,goodfellas-1990,tt0099685,769,,,,1,2026-01-24T12:06:00.000Z
Gattaca,1997,625,gattaca-1997,tt0119177,782,,,,1,2026-01-24T12:07:00.000Z
Shrek,2001,651,shrek-2001,tt0126029,808,,,,1,2026-01-24T14:48:00.000Z
Shrek 2,2004,652,shrek-2-2004,tt0298148,809,,,,1,2026-01-24T14:51:00.000Z
Toy Story,1995,705,toy-story-1995,tt0114709,862,,,,1,2026-01-24T14:48:00.000Z
Toy Story 2,1999,706,toy-story-2-1999,tt0120363,863,,,,1,2026-01-24T14:50:00.000Z
The Prestige,2006,851,the-prestige-2006,tt0482571,1124,,,,1,2026-01-24T12:28:00.000Z
American Psycho,2000,898,american-psycho-2000,tt0144084,1359,,,,1,2026-01-24T13:13:00.000Z
Pan's Labyrinth,2006,947,pan-s-labyrinth-2006,tt0457430,1417,,,,1,2026-01-24T12:29:00.000Z
The Departed,2006,952,the-departed-2006,tt0407887,1422,,,,1,2026-01-24T17:27:00.000Z
28 Weeks Later,2007,1021,28-weeks-later-2007,tt0463854,1562,,,,1,2026-01-24T14:50:00.000Z
Iron Man,2008,1157,iron-man-2008,tt0371746,1726,,,,1,2026-01-24T13:06:00.000Z
Fear and Loathing in Las Vegas,1998,1254,fear-and-loathing-in-las-vegas-1998,tt0120669,1878,,,,1,2026-02-04T19:07:00.000Z
The Empire Strikes Back,1980,1266,the-empire-strikes-back-1980,tt0080684,1891,,,,1,2026-02-05T13:49:00.000Z
Return of the Jedi,1983,1267,return-of-the-jedi-1983,tt0086190,1892,,,,1,2026-01-24T12:29:00.000Z
The Others,2001,1304,the-others-2001,tt0230600,1933,,,,1,2026-01-24T12:07:00.000Z
Crank,2006,1319,crank-2006,tt0479884,1948,,,,1,2025-07-21T06:51:00.000Z
"I, Robot",2004,1406,i-robot-2004,tt0343818,2048,,,,1,2026-01-24T13:06:00.000Z
Ratatouille,2007,1416,ratatouille-2007,tt0382932,2062,,,,1,2026-01-24T14:50:00.000Z
American Pie,1999,1454,american-pie-1999,tt0163651,2105,,,,1,2025-08-30T19:56:00.000Z
Deconstructing Harry,1997,1780,deconstructing-harry-1997,tt0118954,2639,,,,1,2025-05-10T01:31:00.000Z
American Pie 2,2001,1851,american-pie-2-2001,tt0252866,2770,,,,1,2025-08-30T23:03:00.000Z
Monty Python's The Meaning of Life,1983,2671,monty-python-s-the-meaning-of-life-1983,tt0085959,4543,,,,1,2026-01-24T12:36:00.000Z
The Curious Case of Benjamin Button,2008,2857,the-curious-case-of-benjamin-button-2008,tt0421715,4922,,,,1,2026-02-05T13:52:00.000Z
10 Things I Hate About You,1999,2885,10-things-i-hate-about-you-1999,tt0147800,4951,,,,1,2026-02-11T18:29:00.000Z
Boogie Nights,1997,2925,boogie-nights-1997,tt0118749,4995,,,,1,2025-09-25T15:10:00.000Z
No Country for Old Men,2007,3798,no-country-for-old-men-2007,tt0477348,6977,,,,1,2026-01-24T12:14:00.000Z
Tropic Thunder,2008,3907,tropic-thunder-2008,tt0942385,7446,,,,1,2026-01-24T13:07:00.000Z
Punch-Drunk Love,2002,4018,punch-drunk-love-2002,tt0272338,8051,,,,1,2026-01-24T12:28:00.000Z
American Wedding,2003,4097,american-wedding-2003,tt0328828,8273,,,,1,2025-08-31T15:42:00.000Z
Superbad,2007,4151,superbad-2007,tt0829482,8363,,,,1,2026-01-24T12:07:00.000Z
Twilight,2008,4433,twilight-2008,tt1099212,8966,,,,1,2026-01-24T13:08:00.000Z
Toy Story 3,2010,5407,toy-story-3-2010,tt0435761,10193,,,,1,2026-01-24T14:52:00.000Z
WALL·E,2008,5853,wall-e-2008,tt0910970,10681,,,,1,2026-01-24T14:47:00.000Z
The Notebook,2004,6173,the-notebook-2004,tt0332280,11036,,,,1,2026-01-24T12:07:00.000Z
Cinema Paradiso,1988,6342,cinema-paradiso-1988,tt0095765,11216,,,,1,2026-04-30T19:33:00.000Z
Shutter Island,2010,6422,shutter-island-2010,tt1130884,11324,,,,1,2026-01-24T12:29:00.000Z
Love and Death,1975,6759,love-and-death-1975,tt0073312,11686,,,,1,2025-05-03T02:52:00.000Z
Slumdog Millionaire,2008,7198,slumdog-millionaire-2008,tt1010048,12405,,,,1,2025-08-29T22:30:00.000Z
Harry Potter and the Deathly Hallows: Part 2,2011,7229,harry-potter-and-the-deathly-hallows-part-2-2011,tt1201607,12445,,,,1,2026-01-24T14:50:00.000Z
Gran Torino,2008,7759,gran-torino-2008,tt1205489,13223,,,,1,2026-01-24T13:07:00.000Z
Up,2009,8476,up-2009,tt1049413,14160,,,,1,2026-01-24T14:51:00.000Z
Inglourious Basterds,2009,10322,inglourious-basterds-2009,tt0361748,16869,,,,1,2026-01-24T12:06:00.000Z
Moon,2009,10655,moon-2009,tt1182345,17431,,,,1,2026-01-24T12:36:00.000Z
The Hangover,2009,11534,the-hangover-2009,tt1119646,18785,,,,1,2026-01-24T14:50:00.000Z
Zombieland,2009,12222,zombieland-2009,tt1156398,19908,,,,1,2026-01-24T13:07:00.000Z
(500) Days of Summer,2009,12224,500-days-of-summer-2009,tt1022603,19913,,,,1,2026-01-24T14:51:00.000Z
Kick-Ass,2010,14160,kick-ass-2010,tt1250777,23483,,,,1,2026-01-24T13:07:00.000Z
Inception,2010,16662,inception-2010,tt1375666,27205,,,,1,2026-01-24T12:06:00.000Z
Mr. Nobody,2009,19769,mr-nobody-2009,tt0485947,31011,,,,1,2026-01-24T13:13:00.000Z
The Truman Show,1998,23734,the-truman-show-1998,tt0120382,37165,,,,1,2026-01-24T12:14:00.000Z
Tangled,2010,25084,tangled-2010,tt0398286,38757,,,,1,2026-02-15T14:02:00.000Z
Super,2010,30741,super-2010,tt1512235,45132,,,,1,2025-09-12T11:40:00.000Z
