title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
Monty Python's The Meaning of Life,1983,2671,monty-python-s-the-meaning-of-life-1983,tt0085959,4543,10,5.0,2026-06-12T12:53:34.000Z,,
Kill Bill: The Whole Bloody Affair,2011,259317,kill-bill-the-whole-bloody-affair-2011,tt6019206,414419,7,3.5,2026-06-12T12:53:29.000Z,,
X-Men: Days of Future Past,2014,87348,x-men-days-of-future-past-2014,tt1877832,127585,7,3.5,2026-06-12T12:53:24.000Z,,
Deadpool 2,2018,226108,deadpool-2-2018,tt5463162,383498,7,3.5,2026-06-12T12:53:20.000Z,,
Guardians of the Galaxy,2014,82405,guardians-of-the-galaxy-2014,tt2015381,118340,7,3.5,2026-06-12T12:53:17.000Z,,
"I, Robot",2004,1406,i-robot-2004,tt0343818,2048,8,4.0,2026-06-12T12:53:14.000Z,,
Twelve Monkeys,1995,34,twelve-monkeys-1995,tt0114746,63,8,4.0,2026-06-12T12:53:06.000Z,,
Zombieland,2009,12222,zombieland-2009,tt1156398,19908,6,3.0,2026-06-12T12:52:54.000Z,,
Eddington,2025,485271,eddington-2025,tt31176520,648878,7,3.5,2026-06-12T12:52:47.000Z,,
21 Jump Street,2012,46734,21-jump-street-2012,tt1232829,64688,7,3.5,2026-06-12T12:52:43.000Z,,
The Lobster,2015,154718,the-lobster-2015,tt3464902,254320,8,4.0,2026-06-12T12:52:36.000Z,,
Kill Bill: Vol. 1,2003,19,kill-bill-vol-1-2003,tt0266697,24,7,3.5,2026-06-12T12:52:23.000Z,,
Indiana Jones and the Temple of Doom,1984,56,indiana-jones-and-the-temple-of-doom-1984,tt0087469,87,8,4.0,2026-06-12T12:52:09.000Z,,
Batman Begins,2005,228,batman-begins-2005,tt0372784,272,6,3.0,2026-06-12T12:52:04.000Z,,
WALL·E,2008,5853,wall-e-2008,tt0910970,10681,8,4.0,2026-06-12T12:52:00.000Z,,
The Hangover,2009,11534,the-hangover-2009,tt1119646,18785,8,4.0,2026-06-12T12:51:51.000Z,,
Pirates of the Caribbean: Dead Man's Chest,2006,31,pirates-of-the-caribbean-dead-man-s-chest-2006,tt0383574,58,6,3.0,2026-06-12T12:51:45.000Z,,
Up,2009,8476,up-2009,tt1049413,14160,8,4.0,2026-06-12T12:51:41.000Z,,
Nobody 2,2025,810123,nobody-2-2025,tt28996126,1007734,8,4.0,2026-06-12T12:51:34.000Z,,
The Dictator,2012,56495,the-dictator-2012,tt1645170,76493,8,4.0,2026-06-12T12:51:23.000Z,,
The Hunger Games: Mockingjay - Part 1,2014,89542,the-hunger-games-mockingjay-part-1-2014,tt1951265,131631,6,3.0,2026-06-12T12:51:04.000Z,,
The Hunger Games: Catching Fire,2013,72719,the-hunger-games-catching-fire-2013,tt1951264,101299,6,3.0,2026-06-12T12:51:02.000Z,,
The Hobbit: The Desolation of Smaug,2013,40808,the-hobbit-the-desolation-of-smaug-2013,tt1170358,57158,6,3.0,2026-06-12T12:51:00.000Z,,
Backrooms,2026,870815,backrooms-2026,tt26657236,1083381,6,3.0,2026-06-12T12:50:26.000Z,,
Obsession,2026,1095879,obsession-2026,tt37287335,1339713,8,4.0,2026-06-12T12:50:13.000Z,,
Sundays,2025,1181529,sundays-2025,tt35513027,1443576,6,3.0,2026-05-01T16:15:07.000Z,,
Cinema Paradiso,1988,6342,cinema-paradiso-1988,tt0095765,11216,8,4.0,2026-05-01T16:14:43.000Z,,
